fileName,vidLen,valence,arousal,impact,group
708.2-Fireworks_Stock_Video_2-ED.mp4,11.434,7.1786,5.8571,4.2222,happy
384-Chocolate Waffles-ED.mp4,20.768,7.3846,5.5263,4.5357,happy
959-A Woman And A Kid Playing With Their Dog In The Forest-2-ED.mp4,11.442,7.2571,4.3611,3.7143,happy
316.1-Sleep Baby-ED.mp4,11.729,7.72,5.1923,4.5357,happy
477-Puppy Looking at Camera-ED.mp4,11.233,8.0408,4.3333,5.5667,happy
548-Seasoning A Pizza-ED.mp4,20.115,6.963,4.7895,4.9722,happy
967-Teenage Girls Roller Skating At Indoor Rink-ED.mp4,14.028,6.9063,5.375,3.0667,happy
954-Group of Friends On A Hiking Adventure-ED.mp4,8.882,6.75,4.2778,3.2273,happy
591.2_-_Funny_Baby_Dancing_Moments_-_ED.mp4,7,7.8158,4.5952,4.907,happy
669.2-Army_Captain_Surprises_Daughter_at_Wisconsin_Football_Game-ED.mp4,3.867,7.4615,4.963,5,happy
316.2-Sleep_Baby-ED.mp4,5.567,7.6,4.25,4.75,happy
957.2-A_Dog_Playing_With_The_Dried_Branches-ED.mp4,7.467,7.0769,4.88,3.9474,happy
669.3-Army_Captain_Surprises_Daughter_at_Wisconsin_Football_Game-ED.mp4,13.7,7.5342,5.0417,5.2281,happy
664.7-This_Marriage_Is_My_Calling-ED.mp4,6.567,6.8696,4.381,4.2424,happy
815-Chocolate Poured Over Alfajor-ED.mp4,15.047,6.8462,4.5278,4.5417,happy
949.2-Man_Proposing_to_His_Girlfriend-3-ED.mp4,7.567,7.8571,5.381,5.4348,happy
316.6-Sleep_Baby-ED.mp4,6.034,7.4717,4.0732,5.3,happy
327-New Year's Eve Party-ED.mp4,5.251,7.3,5.75,4.4,happy
948-Man Proposing to His Girlfriend-2-ED.mp4,9.614,7.0417,6.6957,5.3684,happy
672.2-Dance_Boogie_Woogie_Rockabilly_-_Jive_Nellia_&_Dietmar-ED.mp4,7.234,7.45,4.7857,5.5263,happy
475-Dog Fights With His Own Relfection in the Mirror-ED.mp4,10.032,8.1923,5.8824,5.8889,happy
472.1-One TV - Drunk of these shots-ED.mp4,6.374,7.35,5.2778,4.0952,happy
713.2-Couple_Enjoying_Las_Vegas_Fireworks-ED.mp4,12.5,6.7083,4.32,3.2759,happy
550-Slicing a Pizza with a Cutter-ED.mp4,6.818,7.1143,5.3913,4.5667,happy
669.4-Army_Captain_Surprises_Daughter_at_Wisconsin_Football_Game-ED.mp4,11.7,7.6923,5.4545,5.0282,happy
790-Positive Pregnancy Test Result-ED.mp4,14.446,6.9861,5.383,5.0682,happy
930-A Musical Band Entertaining Customers in a Restaurant-ED.mp4,13.506,6.8966,4.7027,4.0588,happy
667.2-Soldier_Surprises_Daughter-ED.mp4,3.6,7.7895,5.8696,6.1154,happy
668.4-Most_HEARTWARMING_Military_Homecoming_Surprises!-ED.mp4,13.167,7.7541,6.7069,6.8571,happy
710.2-Fireworks_Display_At_Night-ED.mp4,15,7,5.1935,4.4872,happy
672.7-Dance_Boogie_Woogie_Rockabilly_-_Jive_Nellia_and_Dietmar-ED.mp4,14.734,7.92,5.2424,5.0909,happy
708.1-Fireworks Stock Video 2-ED.mp4,11.364,7.0444,5.3939,5.2188,happy
675-Fun Loving Couple Handshake-ED.mp4,7.236,6.8,5.4091,4.2364,happy
666.2-Soldier_Surprises_Girlfriend_During_76ers_Game-ED.mp4,15,7.1176,5.0476,5.6842,happy
496.1-Riding On A Dragon Coaster Part 4-ED.mp4,5.904,7.0345,5.5909,4.3571,happy
668.2-Most_HEARTWARMING_Military_Homecoming_Surprises!-ED.mp4,10,7.6667,5.3913,6.0769,happy
664.2-This_Marriage_Is_My_Calling-ED.mp4,5.134,6.9412,6.1667,5,happy
788-Happy Woman with a Pregnancy Test-ED.mp4,15.805,7,5.4737,4.7727,happy
662.1-Summertime Kiss Scene-ED.mp4,10.214,6.7059,5.119,5.8611,happy
929-A Woman Dancing in a traditional China Poblana Dress-ED.mp4,12.174,7,4.0968,2.9667,happy
591.4_-_Funny_Baby_Dancing_Moments_-_ED.mp4,10.1,7.4583,4.7143,4.8511,happy
566.1-Mitch Parkinson-ED.mp4,5.2,6.7407,5.1875,5.125,happy
810-Stir Fry Slow Motion-ED.mp4,4.102,6.85,4.1875,3.25,happy
947-Man Proposing to His Girlfriend-ED.mp4,9.013,7.3333,6.1053,4.55,happy
480-US Dollars-ED.mp4,16.144,6.973,5.5143,4.1081,happy
694.1-Poor Emma Vomits and Loses Her Breakfast-ED.mp4,15.047,6.9474,4.04,4.85,happy
354.1-Woman Hugging and Carrying Her Son-ED.mp4,8.046,7.8889,4.6667,5.3793,happy
894-Fireworks Display-ED.mp4,15.021,7.2273,6.6765,5.1739,happy
707.2-Fireworks_Stock_Video-ED.mp4,10.267,7.3889,4.4839,3.8065,happy
476.2-Puppy_Playing_with_Tennis_Ball_in_Flowerbed-ED2.mp4,11.934,7.8276,5.4483,6.4074,happy
928-A Dancer Performing in an Open Restaurant-ED.mp4,15.047,7.7,4.5185,3.7083,happy
980-People Raising Their Glasses For A Toss With Confetti Dropping From Above-ED.mp4,14.629,7.0286,6.1212,4.0278,happy
505-People Jumping-ED2.mp4,4.572,7.0833,4.5424,4.1127,happy
566.6-Mitch_Parkinson-ED.mp4,7.534,6.9737,5.2895,4.6842,happy
987-Man Accomplished His Work-ED.mp4,5.983,6.7805,4.6744,3.5405,happy
685.28-Romantic_Happy_Couple_Showing_Love-ED.mp4,7.534,7.15,4.8261,4.1786,happy
953-A Group Eating Pizza Outdoors-ED.mp4,8.334,6.9286,4.6667,3.5,happy
537.1-Couple Dancing in the Rain Viral Video-ED.mp4,13.14,6.7778,5.3684,4.3478,happy
530.3-Demon_Hunter-ED.mp4,10.434,2.8261,5.4179,4.7027,sad
696.5-Eggnog_Gallon_Challenge_WARNING_Projectile_Vomiting-ED.mp4,4.6,1.6471,6.1538,5.4545,sad
534.2-AMBULANCE-ED.mp4,6.034,2.7143,6.3,5.0476,sad
601.1 - Woman Runs Over Boyfriend With Car After Learning He's HIV Positive - ED 1.mp4,7.027,1.9655,7.7,7.2727,sad
306-Ghost Doll 3 Pack 2-ED.mp4,9.979,2.3333,6.5,6.6071,sad
589.3-CLOSE_TORNADO_TEARS_THROUGH_TOWN-ED.mp4,3.767,2.7465,6.4868,5.4458,sad
889.1-Man Kissing A Head Bust-ED.mp4,10.214,2.7333,3.7368,4.5714,sad
794.4-MONEY-ED.mp4,5,1.9216,5.8966,6.0357,sad
698.3-Putting_a_Girl_into_Sleep_-_General_Anesthesia-ED.mp4,12.067,2.6207,6.6,6.4727,sad
594.3_-_I_HAD_A_BAD_SEIZURE_ON_MARCH_15TH_-_ED.mp4,15,2.4821,6.381,6.6491,sad
579-Brutal Hit and Run-ED.mp4,10.058,2.6471,7.45,6.5556,sad
460.1-Bloody Knife and Hand Stabbing-ED2.mp4,6.113,2.7143,5.8333,5.3043,sad
434.1-Chicken electrocution and decapitation-ED.mp4,10.032,1.875,5.0606,6.2414,sad
594.2_-_I_HAD_A_BAD_SEIZURE_ON_MARCH_15TH_-_ED.mp4,15,2.4167,6.2683,5.875,sad
909-High Angle Gimbal Shot Looking Down at Body and Bloody Hammer-ED.mp4,14.916,2.64,6.6364,6.0952,sad
595.1 - Worst Grand Mal Seizure I Ever Had - ED.mp4,14.969,1.5714,7.4211,6.5938,sad
434.3-Chicken_electrocution_and_decapitation-ED.mp4,15.567,1.8143,6.322,7.1846,sad
313.4-Full_Facelift_surgery_-_Josies_before_-_ED_.mp4,16.967,2.5143,5.8627,6.541,sad
572.1-Snake Eats Croc-ED.mp4,10.032,2.9714,4.8919,5,sad
580.1-Airplane Accident-ED.mp4,12.565,2.7273,6.7241,6.4242,sad
608.8-CRAZY_NEAR_DEATH_EXPERIENCES-ED.mp4,15,2.8929,7.5455,6.4737,sad
911-High Angle Gimbal Shot of Bloody Hammer and Hand Under Tarpaulin at Crime Scene-ED.mp4,15.021,2.4737,6.1944,5.0889,sad
541.6-Dangerous_Conviction-ED.mp4,22,2.7941,5.3448,6.0385,sad
696.6-Eggnog_Gallon_Challenge_WARNING_Projectile_Vomiting-ED.mp4,14.667,1.7,5.6944,5.9259,sad
526.3-Monster_(EXPLICIT)-ED2.mp4,4.567,2.2881,6.4444,5.5,sad
699.1-Ants Eating a Dead Cockroach-ED.mp4,8.36,2.6667,4.96,5.4848,sad
532.4-The_Ambulance-ED.mp4,7.767,2.6111,5.42,5.4237,sad
576.2-Rattlesnakes_Strike_GoPro-ED.mp4,11.1,2.2051,6.92,5.9783,sad
600.3_-_Injecting_Speedball_-_Crack_&_Heroin-_ED.mp4,14,2.2031,6.2333,6.2203,sad
404.2-Man_Tries_to_Smoke_and_Gets_Caughts-ED.mp4,8.534,2.913,5.7,3.6087,sad
532.1-The Ambulance-ED.mp4,4.572,2.75,6.3529,5.7778,sad
632.6-Home_Invasion-ED.mp4,7.234,2.8966,6.4615,4.5385,sad
