fileName,vidLen,valence,arousal,impact,group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MoviePresent.started,movie.started,polygon.started,polygon.stopped,MoviePresent.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.006106200162321329,0.0107896002009511,0.0107896002009511,0.7682519000954926,space,0.7502379000652581,None,,,,,,702083,001,2025-06-11_13h30.43.465,emotionalMovieTask,2023.2.3,60.050827015521115,2025-06-11 13h30.51.995570 -0500,
641.1-Free Couple Holding Hands-ED.mp4,12.539,6.4286,3.2,3.2821,neut,0,0,0,3,1.01233350019902,,,,,,,,,0.7805207001511008,1.01233350019902,1.01233350019902,2.020869300002232,13.480376400053501,702083,001,2025-06-11_13h30.43.465,emotionalMovieTask,2023.2.3,60.050827015521115,2025-06-11 13h30.51.995570 -0500,
,,,,,,,,,,13.901303300168365,,,,,,,,,13.59694610000588,13.901303300168365,13.901303300168365,14.914499200182036,,,,,,,,,
