fileName,vidLen,valence,arousal,impact,group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MoviePresent.started,movie.started,constantBlack.started,photoDiode1.started,photoDiode2.started,photoDiode3.started,photoDiode1.stopped,photoDiode2.stopped,photoDiode3.stopped,MoviePresent.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.0065685000736266375,0.01154330000281334,0.01154330000281334,7.385352300014347,space,7.359170300187543,None,,,,,,,,,,,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
856.2-Gorgeous_Young_Woman-ED.mp4,8.334,5.5833,3.8,3.1481,neut,0,0,0,40,8.0491645000875,,,,,,,,,7.397915600100532,8.0491645000875,8.0491645000875,8.0491645000875,8.0491645000875,8.188675499986857,8.254514300031587,8.254514300031587,8.38717980007641,16.361328799976036,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
306-Ghost Doll 3 Pack 2-ED.mp4,9.979,2.3333,6.5,6.6071,sad,0,1,1,124,17.250456599984318,,,,,,,,,16.46578840003349,17.250456599984318,17.250456599984318,17.250456599984318,17.250456599984318,17.260038200067356,17.4618657999672,17.4618657999672,17.4618657999672,27.170008500106633,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
750-Blood in the Drain-ED.mp4,10.032,2.037,5.8056,5.3333,sad,0,2,2,159,28.46252329996787,,,,,,,,,27.298664800124243,28.46252329996787,28.46252329996787,28.46252329996787,28.46252329996787,28.46252329996787,28.670650399988517,28.670650399988517,28.670650399988517,38.429278099909425,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
696.3-Eggnog_Gallon_Challenge_WARNING!_Projectile_Vomiting-ED.mp4,3.234,2.6167,5.619,5.3906,sad,0,3,3,156,38.88341209990904,,,,,,,,,38.546837999951094,38.88341209990904,38.88341209990904,38.88341209990904,38.947124999947846,39.34687309991568,39.09687940008007,39.14650329994038,39.54681050009094,42.0988543999847,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
535.9-Angry-ED.mp4,9.634,2.9444,5.0625,5.25,sad,0,4,4,171,43.02835900010541,,,,,,,,,42.208581699989736,43.02835900010541,43.02835900010541,43.02835900010541,43.02835900010541,43.037694100057706,43.233906799927354,43.233906799927354,43.249680700013414,52.674453400075436,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
664.2-This_Marriage_Is_My_Calling-ED.mp4,5.134,6.9412,6.1667,5.0,happy,0,5,5,98,53.40571349998936,,,,,,,,,52.784618200035766,53.40571349998936,53.40571349998936,53.40571349998936,53.40571349998936,53.592550799949095,53.60886900010519,53.60886900010519,53.79147840011865,58.51268219994381,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
669.4-Army_Captain_Surprises_Daughter_at_Wisconsin_Football_Game-ED.mp4,11.7,7.6923,5.4545,5.0282,happy,0,6,6,86,59.611700400011614,,,,,,,,,58.63056880002841,59.611700400011614,59.611700400011614,59.611700400011614,59.611700400011614,59.611700400011614,59.813002299983054,59.813002299983054,59.813002299983054,71.29081950010732,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
532.3-The_Ambulance-ED.mp4,7.0,2.3286,5.6349,5.623,sad,0,7,7,175,72.188014900079,,,,,,,,,71.40280129993334,72.188014900079,72.188014900079,72.188014900079,72.188014900079,72.19754799990915,72.39075820008293,72.39075820008293,72.40675630001351,79.16302570002154,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
669.2-Army_Captain_Surprises_Daughter_at_Wisconsin_Football_Game-ED.mp4,3.867,7.4615,4.963,5.0,happy,0,8,8,71,80.14938790001906,,,,,,,,,79.2791917999275,80.14938790001906,80.14938790001906,80.14938790001906,80.14938790001906,80.14938790001906,80.36312719993293,80.36312719993293,80.36312719993293,84.0000184001401,861996,001,2025-06-11_16h16.33.069,emotionalMovieTask,2023.2.3,59.993904600816165,2025-06-11 16h16.41.543032 -0500,
,,,,,,,,,,84.91882969997823,,,,,,,,,84.10906150005758,84.91882969997823,84.91882969997823,84.91882969997823,84.91882969997823,84.92834260012023,85.11785509996116,85.11785509996116,85.13408139999956,,,,,,,,,
