fileName,vidLen,valence,arousal,impact,group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MoviePresent.started,movie.started,constantBlack.started,polygon.started,polygon.stopped,MoviePresent.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.00735169998370111,0.012124999891966581,0.012124999891966581,1.2188343999441713,space,1.2043649000115693,None,,,,,,,538761,001,2025-06-11_13h33.22.111,emotionalMovieTask,2023.2.3,59.93022918429035,2025-06-11 13h33.33.957056 -0500,
646-Woman Crocheting-ED.mp4,7.811,5.3077,3.4643,3.0263,neut,0,0,0,1,1.4502834000159055,,,,,,,,,1.230703999986872,1.4502834000159055,1.4502834000159055,1.4502834000159055,1.7041641999967396,9.226984000066295,538761,001,2025-06-11_13h33.22.111,emotionalMovieTask,2023.2.3,59.93022918429035,2025-06-11 13h33.33.957056 -0500,
685.22-Romantic_Happy_Couple_Showing_Love-ED.mp4,9.967,5.913,2.7143,2.05,neut,0,1,1,2,9.640913099981844,,,,,,,,,9.334532799897715,9.640913099981844,9.640913099981844,9.640913099981844,9.893770899856463,19.58580069988966,538761,001,2025-06-11_13h33.22.111,emotionalMovieTask,2023.2.3,59.93022918429035,2025-06-11 13h33.33.957056 -0500,
,,,,,,,,,,19.998129500076175,,,,,,,,,19.699419100070372,19.998129500076175,19.998129500076175,19.998129500076175,20.252672099974006,,,,,,,,,
