fileName,vidLen,valence,arousal,impact,group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MoviePresent.started,movie.started,constantBlack.started,photoDiode1.started,photoDiode2.started,photoDiode3.started,photoDiode1.stopped,photoDiode2.stopped,photoDiode3.stopped,MoviePresent.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.006728099891915917,0.01201389986090362,0.01201389986090362,1.6197164000477642,space,1.6044733999297023,None,,,,,,,,,,,176548,001,2025-06-11_16h11.00.873,emotionalMovieTask,2023.2.3,59.9819934220857,2025-06-11 16h11.10.128676 -0500,
533.3-Too_Late-ED.mp4,5.367,2.4179,6.2727,5.8358,sad,0,0,0,157,2.3370232998859137,,,,,,,,,1.6329554000403732,2.3370232998859137,2.3370232998859137,2.3370232998859137,2.3370232998859137,2.4224237999878824,2.53818599996157,2.53818599996157,2.6210511000826955,7.67561489995569,176548,001,2025-06-11_16h11.00.873,emotionalMovieTask,2023.2.3,59.9819934220857,2025-06-11 16h11.10.128676 -0500,
930-A Musical Band Entertaining Customers in a Restaurant-ED.mp4,13.506,6.8966,4.7027,4.0588,happy,0,1,1,88,8.568411699961871,,,,,,,,,7.787708699936047,8.568411699961871,8.568411699961871,8.568411699961871,8.568411699961871,8.586492399917915,8.776651300024241,8.776651300024241,8.792691000038758,22.054099899949506,176548,001,2025-06-11_16h11.00.873,emotionalMovieTask,2023.2.3,59.9819934220857,2025-06-11 16h11.10.128676 -0500,
,,,,,,,,,,23.01940039987676,,,,,,,,,22.170541799860075,23.01940039987676,23.01940039987676,23.01940039987676,23.01940039987676,23.01940039987676,23.221319600008428,23.221319600008428,23.221319600008428,,,,,,,,,
