fileName,vidLen,valence,arousal,impact,group,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,MoviePresent.started,movie.started,constantBlack.started,key_resp_2.started,MoviePresent.stopped,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,photoDiode1.started,photoDiode1.stopped,photoDiode2.started,photoDiode2.stopped,photoDiode3.started,photoDiode3.stopped,movie.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.003412799909710884,0.007699999958276749,0.007699999958276749,56.00126410089433,space,55.97142199985683,None,,,,,,,,,,,,,,,,268662,001,2025-06-18_16h06.36.360,emotionalMovieTask,2024.2.4,60.025343046539206,2025-06-18 16h06.42.978748 -0500,
412-Business Meeting 2-ED.mp4,15.308,4.5952,3.7674,3.0328,neut,0,0,0,space,1.4627004992216825,None,0,0,0,32,56.16308560036123,,,,,,,,,56.112939801067114,56.16308560036123,56.16308560036123,56.16308560036123,57.629648299887776,space,1.4627004992216825,None,,,,,,,,268662,001,2025-06-18_16h06.36.360,emotionalMovieTask,2024.2.4,60.025343046539206,2025-06-18 16h06.42.978748 -0500,
580.1-Airplane Accident-ED.mp4,12.565,2.7273,6.7241,6.4242,sad,1,1,0,space,0.8487213999032974,None,0,1,1,139,58.152641501277685,,,,,,,,,58.10792309977114,58.152641501277685,58.152641501277685,58.152641501277685,59.013303101062775,space,0.8487213999032974,None,,,,,,,,268662,001,2025-06-18_16h06.36.360,emotionalMovieTask,2024.2.4,60.025343046539206,2025-06-18 16h06.42.978748 -0500,
738.1-Pouring Beer Slow Motion-ED.mp4,8.7,5.1429,3.0556,2.7273,neut,2,2,0,space,0.6025677993893623,None,0,2,2,39,59.486963300034404,,,,,,,,,59.43960580043495,59.486963300034404,59.486963300034404,59.486963300034404,60.09630350023508,space,0.6025677993893623,None,,,,,,,,268662,001,2025-06-18_16h06.36.360,emotionalMovieTask,2024.2.4,60.025343046539206,2025-06-18 16h06.42.978748 -0500,
570.1-Teen with Broom Saves Children from Dog Attack-ED.mp4,7.158,2.1905,6.6667,5.325,sad,3,3,0,None,,,0,3,3,164,60.56505040079355,,,,,,,,,60.518915900960565,60.56505040079355,60.56505040079355,60.56505040079355,67.78835570067167,None,,,62.21069320105016,62.41096740029752,62.61122200079262,62.81073880009353,63.0110455006361,63.2107293009758,68.24249649979174,268662,001,2025-06-18_16h06.36.360,emotionalMovieTask,2024.2.4,60.025343046539206,2025-06-18 16h06.42.978748 -0500,
323.6-LANCE_LIZARDI-ED.mp4,6.967,5.2368,3.6071,2.4571,neut,4,4,0,,,,0,4,4,28,68.24249649979174,,,,,,,,,68.20124210044742,68.24249649979174,68.24249649979174,68.24249649979174,,,,,69.92747890017927,70.12783790007234,70.3276252001524,70.5274514015764,70.7274350002408,70.92815960012376,,,,,,,,,
